年,月,産業名_大分類,産業名_中分類,人数_人
令和3年,1月,農，林，漁業,農，林，漁業,45
令和3年,1月,鉱業，採石業，砂利採取業,鉱業，採石業，砂利採取業,5
令和3年,1月,建設業,建設業,468
令和3年,1月,製造業,製造業,688
令和3年,1月,製造業,食料品製造業,126
令和3年,1月,製造業,飲料・たばこ･飼料製造業,22
令和3年,1月,製造業,繊維工業,15
令和3年,1月,製造業,木材・木製品製造業（家具を除く）,7
令和3年,1月,製造業,家具・装備品製造業,8
令和3年,1月,製造業,パルプ・紙・紙加工品製造業,15
令和3年,1月,製造業,印刷・同関連業,8
令和3年,1月,製造業,化学工業,5
令和3年,1月,製造業,石油製品・石炭製品製造業,0
令和3年,1月,製造業,プラスチック製品製造業,28
令和3年,1月,製造業,ゴム製品製造業,3
令和3年,1月,製造業,窯業・土石製品製造業,13
令和3年,1月,製造業,鉄鋼業,2
令和3年,1月,製造業,非鉄金属製造業,17
令和3年,1月,製造業,金属製品製造業,58
令和3年,1月,製造業,はん用機械器具製造業,18
令和3年,1月,製造業,生産用機械器具製造業,65
令和3年,1月,製造業,業務用機械器具製造業,46
令和3年,1月,製造業,電子部品・デバイス・電子回路製造業,52
令和3年,1月,製造業,電気機械器具製造業,62
令和3年,1月,製造業,情報通信機械器具製造業,31
令和3年,1月,製造業,輸送用機械器具製造業,31
令和3年,1月,製造業,その他の製造業,56
令和3年,1月,電気・ガス・熱供給・水道業,電気・ガス・熱供給・水道業,3
令和3年,1月,情報通信業,情報通信業,37
令和3年,1月,運輸業，郵便業,運輸業，郵便業,227
令和3年,1月,卸売業，小売業,卸売業，小売業,545
令和3年,1月,金融業，保険業,金融業，保険業,23
令和3年,1月,不動産業，物品賃貸業,不動産業，物品賃貸業,31
令和3年,1月,学術研究，専門・技術サービス業,学術研究，専門・技術サービス業,99
令和3年,1月,宿泊業，飲食サービス業,宿泊業，飲食サービス業,230
令和3年,1月,生活関連サービス業，娯楽業,生活関連サービス業，娯楽業,193
令和3年,1月,教育，学習支援業,教育，学習支援業,159
令和3年,1月,医療，福祉,医療，福祉,1210
令和3年,1月,複合サービス事業,複合サービス事業,17
令和3年,1月,サービス業（他に分類されないもの）,サービス業（他に分類されないもの）,785
令和3年,1月,公務（他に分類されるものを除く）・その他,公務（他に分類されるものを除く）・その他,444
令和3年,1月,合計,合計,5209
令和3年,2月,農，林，漁業,農，林，漁業,113
令和3年,2月,鉱業，採石業，砂利採取業,鉱業，採石業，砂利採取業,4
令和3年,2月,建設業,建設業,563
令和3年,2月,製造業,製造業,831
令和3年,2月,製造業,食料品製造業,188
令和3年,2月,製造業,飲料・たばこ･飼料製造業,43
令和3年,2月,製造業,繊維工業,25
令和3年,2月,製造業,木材・木製品製造業（家具を除く）,2
令和3年,2月,製造業,家具・装備品製造業,10
令和3年,2月,製造業,パルプ・紙・紙加工品製造業,5
令和3年,2月,製造業,印刷・同関連業,6
令和3年,2月,製造業,化学工業,12
令和3年,2月,製造業,石油製品・石炭製品製造業,0
令和3年,2月,製造業,プラスチック製品製造業,37
令和3年,2月,製造業,ゴム製品製造業,0
令和3年,2月,製造業,窯業・土石製品製造業,33
令和3年,2月,製造業,鉄鋼業,4
令和3年,2月,製造業,非鉄金属製造業,8
令和3年,2月,製造業,金属製品製造業,55
令和3年,2月,製造業,はん用機械器具製造業,41
令和3年,2月,製造業,生産用機械器具製造業,73
令和3年,2月,製造業,業務用機械器具製造業,22
令和3年,2月,製造業,電子部品・デバイス・電子回路製造業,47
令和3年,2月,製造業,電気機械器具製造業,90
令和3年,2月,製造業,情報通信機械器具製造業,22
令和3年,2月,製造業,輸送用機械器具製造業,43
令和3年,2月,製造業,その他の製造業,65
令和3年,2月,電気・ガス・熱供給・水道業,電気・ガス・熱供給・水道業,0
令和3年,2月,情報通信業,情報通信業,35
令和3年,2月,運輸業，郵便業,運輸業，郵便業,194
令和3年,2月,卸売業，小売業,卸売業，小売業,547
令和3年,2月,金融業，保険業,金融業，保険業,16
令和3年,2月,不動産業，物品賃貸業,不動産業，物品賃貸業,55
令和3年,2月,学術研究，専門・技術サービス業,学術研究，専門・技術サービス業,78
令和3年,2月,宿泊業，飲食サービス業,宿泊業，飲食サービス業,292
令和3年,2月,生活関連サービス業，娯楽業,生活関連サービス業，娯楽業,264
令和3年,2月,教育，学習支援業,教育，学習支援業,140
令和3年,2月,医療，福祉,医療，福祉,1231
令和3年,2月,複合サービス事業,複合サービス事業,14
令和3年,2月,サービス業（他に分類されないもの）,サービス業（他に分類されないもの）,689
令和3年,2月,公務（他に分類されるものを除く）・その他,公務（他に分類されるものを除く）・その他,635
令和3年,2月,合計,合計,5701
令和3年,3月,農，林，漁業,農，林，漁業,131
令和3年,3月,鉱業，採石業，砂利採取業,鉱業，採石業，砂利採取業,2
令和3年,3月,建設業,建設業,545
令和3年,3月,製造業,製造業,869
令和3年,3月,製造業,食料品製造業,140
令和3年,3月,製造業,飲料・たばこ･飼料製造業,41
令和3年,3月,製造業,繊維工業,20
令和3年,3月,製造業,木材・木製品製造業（家具を除く）,8
令和3年,3月,製造業,家具・装備品製造業,6
令和3年,3月,製造業,パルプ・紙・紙加工品製造業,28
令和3年,3月,製造業,印刷・同関連業,12
令和3年,3月,製造業,化学工業,17
令和3年,3月,製造業,石油製品・石炭製品製造業,0
令和3年,3月,製造業,プラスチック製品製造業,53
令和3年,3月,製造業,ゴム製品製造業,0
令和3年,3月,製造業,窯業・土石製品製造業,15
令和3年,3月,製造業,鉄鋼業,15
令和3年,3月,製造業,非鉄金属製造業,34
令和3年,3月,製造業,金属製品製造業,58
令和3年,3月,製造業,はん用機械器具製造業,46
令和3年,3月,製造業,生産用機械器具製造業,73
令和3年,3月,製造業,業務用機械器具製造業,36
令和3年,3月,製造業,電子部品・デバイス・電子回路製造業,44
令和3年,3月,製造業,電気機械器具製造業,69
令和3年,3月,製造業,情報通信機械器具製造業,23
令和3年,3月,製造業,輸送用機械器具製造業,68
令和3年,3月,製造業,その他の製造業,63
令和3年,3月,電気・ガス・熱供給・水道業,電気・ガス・熱供給・水道業,2
令和3年,3月,情報通信業,情報通信業,45
令和3年,3月,運輸業，郵便業,運輸業，郵便業,219
令和3年,3月,卸売業，小売業,卸売業，小売業,609
令和3年,3月,金融業，保険業,金融業，保険業,25
令和3年,3月,不動産業，物品賃貸業,不動産業，物品賃貸業,74
令和3年,3月,学術研究，専門・技術サービス業,学術研究，専門・技術サービス業,86
令和3年,3月,宿泊業，飲食サービス業,宿泊業，飲食サービス業,547
令和3年,3月,生活関連サービス業，娯楽業,生活関連サービス業，娯楽業,272
令和3年,3月,教育，学習支援業,教育，学習支援業,219
令和3年,3月,医療，福祉,医療，福祉,1521
令和3年,3月,複合サービス事業,複合サービス事業,30
令和3年,3月,サービス業（他に分類されないもの）,サービス業（他に分類されないもの）,1018
令和3年,3月,公務（他に分類されるものを除く）・その他,公務（他に分類されるものを除く）・その他,287
令和3年,3月,合計,合計,6501
令和3年,4月,農，林，漁業,農，林，漁業,132
令和3年,4月,鉱業，採石業，砂利採取業,鉱業，採石業，砂利採取業,5
令和3年,4月,建設業,建設業,442
令和3年,4月,製造業,製造業,831
令和3年,4月,製造業,食料品製造業,214
令和3年,4月,製造業,飲料・たばこ･飼料製造業,19
令和3年,4月,製造業,繊維工業,16
令和3年,4月,製造業,木材・木製品製造業（家具を除く）,9
令和3年,4月,製造業,家具・装備品製造業,8
令和3年,4月,製造業,パルプ・紙・紙加工品製造業,34
令和3年,4月,製造業,印刷・同関連業,12
令和3年,4月,製造業,化学工業,8
令和3年,4月,製造業,石油製品・石炭製品製造業,0
令和3年,4月,製造業,プラスチック製品製造業,51
令和3年,4月,製造業,ゴム製品製造業,2
令和3年,4月,製造業,窯業・土石製品製造業,13
令和3年,4月,製造業,鉄鋼業,2
令和3年,4月,製造業,非鉄金属製造業,13
令和3年,4月,製造業,金属製品製造業,55
令和3年,4月,製造業,はん用機械器具製造業,28
令和3年,4月,製造業,生産用機械器具製造業,85
令和3年,4月,製造業,業務用機械器具製造業,38
令和3年,4月,製造業,電子部品・デバイス・電子回路製造業,56
令和3年,4月,製造業,電気機械器具製造業,46
令和3年,4月,製造業,情報通信機械器具製造業,44
令和3年,4月,製造業,輸送用機械器具製造業,45
令和3年,4月,製造業,その他の製造業,33
令和3年,4月,電気・ガス・熱供給・水道業,電気・ガス・熱供給・水道業,5
令和3年,4月,情報通信業,情報通信業,26
令和3年,4月,運輸業，郵便業,運輸業，郵便業,214
令和3年,4月,卸売業，小売業,卸売業，小売業,593
令和3年,4月,金融業，保険業,金融業，保険業,24
令和3年,4月,不動産業，物品賃貸業,不動産業，物品賃貸業,33
令和3年,4月,学術研究，専門・技術サービス業,学術研究，専門・技術サービス業,109
令和3年,4月,宿泊業，飲食サービス業,宿泊業，飲食サービス業,284
令和3年,4月,生活関連サービス業，娯楽業,生活関連サービス業，娯楽業,255
令和3年,4月,教育，学習支援業,教育，学習支援業,87
令和3年,4月,医療，福祉,医療，福祉,987
令和3年,4月,複合サービス事業,複合サービス事業,113
令和3年,4月,サービス業（他に分類されないもの）,サービス業（他に分類されないもの）,928
令和3年,4月,公務（他に分類されるものを除く）・その他,公務（他に分類されるものを除く）・その他,88
令和3年,4月,合計,合計,5156
令和3年,5月,農，林，漁業,農，林，漁業,130
令和3年,5月,鉱業，採石業，砂利採取業,鉱業，採石業，砂利採取業,4
令和3年,5月,建設業,建設業,501
令和3年,5月,製造業,製造業,781
令和3年,5月,製造業,食料品製造業,127
令和3年,5月,製造業,飲料・たばこ･飼料製造業,35
令和3年,5月,製造業,繊維工業,25
令和3年,5月,製造業,木材・木製品製造業（家具を除く）,2
令和3年,5月,製造業,家具・装備品製造業,11
令和3年,5月,製造業,パルプ・紙・紙加工品製造業,14
令和3年,5月,製造業,印刷・同関連業,7
令和3年,5月,製造業,化学工業,10
令和3年,5月,製造業,石油製品・石炭製品製造業,0
令和3年,5月,製造業,プラスチック製品製造業,35
令和3年,5月,製造業,ゴム製品製造業,1
令和3年,5月,製造業,窯業・土石製品製造業,41
令和3年,5月,製造業,鉄鋼業,5
令和3年,5月,製造業,非鉄金属製造業,10
令和3年,5月,製造業,金属製品製造業,53
令和3年,5月,製造業,はん用機械器具製造業,41
令和3年,5月,製造業,生産用機械器具製造業,68
令和3年,5月,製造業,業務用機械器具製造業,26
令和3年,5月,製造業,電子部品・デバイス・電子回路製造業,38
令和3年,5月,製造業,電気機械器具製造業,109
令和3年,5月,製造業,情報通信機械器具製造業,36
令和3年,5月,製造業,輸送用機械器具製造業,46
令和3年,5月,製造業,その他の製造業,41
令和3年,5月,電気・ガス・熱供給・水道業,電気・ガス・熱供給・水道業,1
令和3年,5月,情報通信業,情報通信業,41
令和3年,5月,運輸業，郵便業,運輸業，郵便業,275
令和3年,5月,卸売業，小売業,卸売業，小売業,637
令和3年,5月,金融業，保険業,金融業，保険業,28
令和3年,5月,不動産業，物品賃貸業,不動産業，物品賃貸業,62
令和3年,5月,学術研究，専門・技術サービス業,学術研究，専門・技術サービス業,74
令和3年,5月,宿泊業，飲食サービス業,宿泊業，飲食サービス業,157
令和3年,5月,生活関連サービス業，娯楽業,生活関連サービス業，娯楽業,225
令和3年,5月,教育，学習支援業,教育，学習支援業,74
令和3年,5月,医療，福祉,医療，福祉,1132
令和3年,5月,複合サービス事業,複合サービス事業,65
令和3年,5月,サービス業（他に分類されないもの）,サービス業（他に分類されないもの）,852
令和3年,5月,公務（他に分類されるものを除く）・その他,公務（他に分類されるものを除く）・その他,144
令和3年,5月,合計,合計,5183
令和3年,6月,農，林，漁業,農，林，漁業,105
令和3年,6月,鉱業，採石業，砂利採取業,鉱業，採石業，砂利採取業,3
令和3年,6月,建設業,建設業,482
令和3年,6月,製造業,製造業,939
令和3年,6月,製造業,食料品製造業,201
令和3年,6月,製造業,飲料・たばこ･飼料製造業,34
令和3年,6月,製造業,繊維工業,12
令和3年,6月,製造業,木材・木製品製造業（家具を除く）,5
令和3年,6月,製造業,家具・装備品製造業,10
令和3年,6月,製造業,パルプ・紙・紙加工品製造業,34
令和3年,6月,製造業,印刷・同関連業,7
令和3年,6月,製造業,化学工業,20
令和3年,6月,製造業,石油製品・石炭製品製造業,0
令和3年,6月,製造業,プラスチック製品製造業,58
令和3年,6月,製造業,ゴム製品製造業,4
令和3年,6月,製造業,窯業・土石製品製造業,27
令和3年,6月,製造業,鉄鋼業,15
令和3年,6月,製造業,非鉄金属製造業,26
令和3年,6月,製造業,金属製品製造業,58
令和3年,6月,製造業,はん用機械器具製造業,52
令和3年,6月,製造業,生産用機械器具製造業,62
令和3年,6月,製造業,業務用機械器具製造業,50
令和3年,6月,製造業,電子部品・デバイス・電子回路製造業,56
令和3年,6月,製造業,電気機械器具製造業,91
令和3年,6月,製造業,情報通信機械器具製造業,12
令和3年,6月,製造業,輸送用機械器具製造業,40
令和3年,6月,製造業,その他の製造業,65
令和3年,6月,電気・ガス・熱供給・水道業,電気・ガス・熱供給・水道業,0
令和3年,6月,情報通信業,情報通信業,66
令和3年,6月,運輸業，郵便業,運輸業，郵便業,306
令和3年,6月,卸売業，小売業,卸売業，小売業,581
令和3年,6月,金融業，保険業,金融業，保険業,6
令和3年,6月,不動産業，物品賃貸業,不動産業，物品賃貸業,95
令和3年,6月,学術研究，専門・技術サービス業,学術研究，専門・技術サービス業,81
令和3年,6月,宿泊業，飲食サービス業,宿泊業，飲食サービス業,424
令和3年,6月,生活関連サービス業，娯楽業,生活関連サービス業，娯楽業,260
令和3年,6月,教育，学習支援業,教育，学習支援業,174
令和3年,6月,医療，福祉,医療，福祉,1409
令和3年,6月,複合サービス事業,複合サービス事業,32
令和3年,6月,サービス業（他に分類されないもの）,サービス業（他に分類されないもの）,1176
令和3年,6月,公務（他に分類されるものを除く）・その他,公務（他に分類されるものを除く）・その他,135
令和3年,6月,合計,合計,6274
令和3年,7月,農，林，漁業,農，林，漁業,100
令和3年,7月,鉱業，採石業，砂利採取業,鉱業，採石業，砂利採取業,4
令和3年,7月,建設業,建設業,453
令和3年,7月,製造業,製造業,871
令和3年,7月,製造業,食料品製造業,178
令和3年,7月,製造業,飲料・たばこ･飼料製造業,39
令和3年,7月,製造業,繊維工業,11
令和3年,7月,製造業,木材・木製品製造業（家具を除く）,8
令和3年,7月,製造業,家具・装備品製造業,12
令和3年,7月,製造業,パルプ・紙・紙加工品製造業,23
令和3年,7月,製造業,印刷・同関連業,17
令和3年,7月,製造業,化学工業,8
令和3年,7月,製造業,石油製品・石炭製品製造業,0
令和3年,7月,製造業,プラスチック製品製造業,39
令和3年,7月,製造業,ゴム製品製造業,1
令和3年,7月,製造業,窯業・土石製品製造業,20
令和3年,7月,製造業,鉄鋼業,5
令和3年,7月,製造業,非鉄金属製造業,12
令和3年,7月,製造業,金属製品製造業,66
令和3年,7月,製造業,はん用機械器具製造業,60
令和3年,7月,製造業,生産用機械器具製造業,63
令和3年,7月,製造業,業務用機械器具製造業,52
令和3年,7月,製造業,電子部品・デバイス・電子回路製造業,41
令和3年,7月,製造業,電気機械器具製造業,83
令和3年,7月,製造業,情報通信機械器具製造業,44
令和3年,7月,製造業,輸送用機械器具製造業,46
令和3年,7月,製造業,その他の製造業,43
令和3年,7月,電気・ガス・熱供給・水道業,電気・ガス・熱供給・水道業,7
令和3年,7月,情報通信業,情報通信業,68
令和3年,7月,運輸業，郵便業,運輸業，郵便業,212
令和3年,7月,卸売業，小売業,卸売業，小売業,701
令和3年,7月,金融業，保険業,金融業，保険業,33
令和3年,7月,不動産業，物品賃貸業,不動産業，物品賃貸業,38
令和3年,7月,学術研究，専門・技術サービス業,学術研究，専門・技術サービス業,113
令和3年,7月,宿泊業，飲食サービス業,宿泊業，飲食サービス業,410
令和3年,7月,生活関連サービス業，娯楽業,生活関連サービス業，娯楽業,234
令和3年,7月,教育，学習支援業,教育，学習支援業,71
令和3年,7月,医療，福祉,医療，福祉,1104
令和3年,7月,複合サービス事業,複合サービス事業,59
令和3年,7月,サービス業（他に分類されないもの）,サービス業（他に分類されないもの）,881
令和3年,7月,公務（他に分類されるものを除く）・その他,公務（他に分類されるものを除く）・その他,76
令和3年,7月,合計,合計,5435
令和3年,8月,農，林，漁業,農，林，漁業,102
令和3年,8月,鉱業，採石業，砂利採取業,鉱業，採石業，砂利採取業,1
令和3年,8月,建設業,建設業,484
令和3年,8月,製造業,製造業,849
令和3年,8月,製造業,食料品製造業,169
令和3年,8月,製造業,飲料・たばこ･飼料製造業,30
令和3年,8月,製造業,繊維工業,23
令和3年,8月,製造業,木材・木製品製造業（家具を除く）,2
令和3年,8月,製造業,家具・装備品製造業,12
令和3年,8月,製造業,パルプ・紙・紙加工品製造業,14
令和3年,8月,製造業,印刷・同関連業,5
令和3年,8月,製造業,化学工業,6
令和3年,8月,製造業,石油製品・石炭製品製造業,0
令和3年,8月,製造業,プラスチック製品製造業,39
令和3年,8月,製造業,ゴム製品製造業,5
令和3年,8月,製造業,窯業・土石製品製造業,35
令和3年,8月,製造業,鉄鋼業,5
令和3年,8月,製造業,非鉄金属製造業,16
令和3年,8月,製造業,金属製品製造業,50
令和3年,8月,製造業,はん用機械器具製造業,35
令和3年,8月,製造業,生産用機械器具製造業,63
令和3年,8月,製造業,業務用機械器具製造業,44
令和3年,8月,製造業,電子部品・デバイス・電子回路製造業,26
令和3年,8月,製造業,電気機械器具製造業,140
令和3年,8月,製造業,情報通信機械器具製造業,39
令和3年,8月,製造業,輸送用機械器具製造業,42
令和3年,8月,製造業,その他の製造業,49
令和3年,8月,電気・ガス・熱供給・水道業,電気・ガス・熱供給・水道業,0
令和3年,8月,情報通信業,情報通信業,49
令和3年,8月,運輸業，郵便業,運輸業，郵便業,195
令和3年,8月,卸売業，小売業,卸売業，小売業,519
令和3年,8月,金融業，保険業,金融業，保険業,30
令和3年,8月,不動産業，物品賃貸業,不動産業，物品賃貸業,29
令和3年,8月,学術研究，専門・技術サービス業,学術研究，専門・技術サービス業,70
令和3年,8月,宿泊業，飲食サービス業,宿泊業，飲食サービス業,290
令和3年,8月,生活関連サービス業，娯楽業,生活関連サービス業，娯楽業,158
令和3年,8月,教育，学習支援業,教育，学習支援業,88
令和3年,8月,医療，福祉,医療，福祉,1121
令和3年,8月,複合サービス事業,複合サービス事業,23
令和3年,8月,サービス業（他に分類されないもの）,サービス業（他に分類されないもの）,797
令和3年,8月,公務（他に分類されるものを除く）・その他,公務（他に分類されるものを除く）・その他,108
令和3年,8月,合計,合計,4913
令和3年,9月,農，林，漁業,農，林，漁業,57
令和3年,9月,鉱業，採石業，砂利採取業,鉱業，採石業，砂利採取業,3
令和3年,9月,建設業,建設業,503
令和3年,9月,製造業,製造業,1027
令和3年,9月,製造業,食料品製造業,203
令和3年,9月,製造業,飲料・たばこ･飼料製造業,50
令和3年,9月,製造業,繊維工業,16
令和3年,9月,製造業,木材・木製品製造業（家具を除く）,4
令和3年,9月,製造業,家具・装備品製造業,4
令和3年,9月,製造業,パルプ・紙・紙加工品製造業,25
令和3年,9月,製造業,印刷・同関連業,5
令和3年,9月,製造業,化学工業,24
令和3年,9月,製造業,石油製品・石炭製品製造業,0
令和3年,9月,製造業,プラスチック製品製造業,47
令和3年,9月,製造業,ゴム製品製造業,0
令和3年,9月,製造業,窯業・土石製品製造業,36
令和3年,9月,製造業,鉄鋼業,16
令和3年,9月,製造業,非鉄金属製造業,21
令和3年,9月,製造業,金属製品製造業,45
令和3年,9月,製造業,はん用機械器具製造業,71
令和3年,9月,製造業,生産用機械器具製造業,79
令和3年,9月,製造業,業務用機械器具製造業,81
令和3年,9月,製造業,電子部品・デバイス・電子回路製造業,67
令和3年,9月,製造業,電気機械器具製造業,80
令和3年,9月,製造業,情報通信機械器具製造業,42
令和3年,9月,製造業,輸送用機械器具製造業,52
令和3年,9月,製造業,その他の製造業,59
令和3年,9月,電気・ガス・熱供給・水道業,電気・ガス・熱供給・水道業,0
令和3年,9月,情報通信業,情報通信業,78
令和3年,9月,運輸業，郵便業,運輸業，郵便業,199
令和3年,9月,卸売業，小売業,卸売業，小売業,723
令和3年,9月,金融業，保険業,金融業，保険業,14
令和3年,9月,不動産業，物品賃貸業,不動産業，物品賃貸業,78
令和3年,9月,学術研究，専門・技術サービス業,学術研究，専門・技術サービス業,94
令和3年,9月,宿泊業，飲食サービス業,宿泊業，飲食サービス業,383
令和3年,9月,生活関連サービス業，娯楽業,生活関連サービス業，娯楽業,290
令和3年,9月,教育，学習支援業,教育，学習支援業,204
令和3年,9月,医療，福祉,医療，福祉,1395
令和3年,9月,複合サービス事業,複合サービス事業,23
令和3年,9月,サービス業（他に分類されないもの）,サービス業（他に分類されないもの）,1014
令和3年,9月,公務（他に分類されるものを除く）・その他,公務（他に分類されるものを除く）・その他,81
令和3年,9月,合計,合計,6166
令和3年,10月,農，林，漁業,農，林，漁業,65
令和3年,10月,鉱業，採石業，砂利採取業,鉱業，採石業，砂利採取業,5
令和3年,10月,建設業,建設業,484
令和3年,10月,製造業,製造業,1081
令和3年,10月,製造業,食料品製造業,228
令和3年,10月,製造業,飲料・たばこ･飼料製造業,33
令和3年,10月,製造業,繊維工業,15
令和3年,10月,製造業,木材・木製品製造業（家具を除く）,10
令和3年,10月,製造業,家具・装備品製造業,8
令和3年,10月,製造業,パルプ・紙・紙加工品製造業,17
令和3年,10月,製造業,印刷・同関連業,22
令和3年,10月,製造業,化学工業,6
令和3年,10月,製造業,石油製品・石炭製品製造業,0
令和3年,10月,製造業,プラスチック製品製造業,54
令和3年,10月,製造業,ゴム製品製造業,6
令和3年,10月,製造業,窯業・土石製品製造業,18
令和3年,10月,製造業,鉄鋼業,9
令和3年,10月,製造業,非鉄金属製造業,26
令和3年,10月,製造業,金属製品製造業,81
令和3年,10月,製造業,はん用機械器具製造業,55
令和3年,10月,製造業,生産用機械器具製造業,90
令和3年,10月,製造業,業務用機械器具製造業,51
令和3年,10月,製造業,電子部品・デバイス・電子回路製造業,73
令和3年,10月,製造業,電気機械器具製造業,113
令和3年,10月,製造業,情報通信機械器具製造業,48
令和3年,10月,製造業,輸送用機械器具製造業,72
令和3年,10月,製造業,その他の製造業,46
令和3年,10月,電気・ガス・熱供給・水道業,電気・ガス・熱供給・水道業,1
令和3年,10月,情報通信業,情報通信業,83
令和3年,10月,運輸業，郵便業,運輸業，郵便業,314
令和3年,10月,卸売業，小売業,卸売業，小売業,630
令和3年,10月,金融業，保険業,金融業，保険業,29
令和3年,10月,不動産業，物品賃貸業,不動産業，物品賃貸業,48
令和3年,10月,学術研究，専門・技術サービス業,学術研究，専門・技術サービス業,175
令和3年,10月,宿泊業，飲食サービス業,宿泊業，飲食サービス業,477
令和3年,10月,生活関連サービス業，娯楽業,生活関連サービス業，娯楽業,267
令和3年,10月,教育，学習支援業,教育，学習支援業,119
令和3年,10月,医療，福祉,医療，福祉,1206
令和3年,10月,複合サービス事業,複合サービス事業,14
令和3年,10月,サービス業（他に分類されないもの）,サービス業（他に分類されないもの）,1021
令和3年,10月,公務（他に分類されるものを除く）・その他,公務（他に分類されるものを除く）・その他,157
令和3年,10月,合計,合計,6176
令和3年,11月,農，林，漁業,農，林，漁業,71
令和3年,11月,鉱業，採石業，砂利採取業,鉱業，採石業，砂利採取業,4
令和3年,11月,建設業,建設業,531
令和3年,11月,製造業,製造業,935
令和3年,11月,製造業,食料品製造業,155
令和3年,11月,製造業,飲料・たばこ･飼料製造業,42
令和3年,11月,製造業,繊維工業,22
令和3年,11月,製造業,木材・木製品製造業（家具を除く）,5
令和3年,11月,製造業,家具・装備品製造業,14
令和3年,11月,製造業,パルプ・紙・紙加工品製造業,11
令和3年,11月,製造業,印刷・同関連業,4
令和3年,11月,製造業,化学工業,12
令和3年,11月,製造業,石油製品・石炭製品製造業,0
令和3年,11月,製造業,プラスチック製品製造業,59
令和3年,11月,製造業,ゴム製品製造業,3
令和3年,11月,製造業,窯業・土石製品製造業,46
令和3年,11月,製造業,鉄鋼業,9
令和3年,11月,製造業,非鉄金属製造業,26
令和3年,11月,製造業,金属製品製造業,50
令和3年,11月,製造業,はん用機械器具製造業,38
令和3年,11月,製造業,生産用機械器具製造業,75
令和3年,11月,製造業,業務用機械器具製造業,39
令和3年,11月,製造業,電子部品・デバイス・電子回路製造業,60
令和3年,11月,製造業,電気機械器具製造業,143
令和3年,11月,製造業,情報通信機械器具製造業,18
令和3年,11月,製造業,輸送用機械器具製造業,56
令和3年,11月,製造業,その他の製造業,48
令和3年,11月,電気・ガス・熱供給・水道業,電気・ガス・熱供給・水道業,1
令和3年,11月,情報通信業,情報通信業,120
令和3年,11月,運輸業，郵便業,運輸業，郵便業,179
令和3年,11月,卸売業，小売業,卸売業，小売業,510
令和3年,11月,金融業，保険業,金融業，保険業,13
令和3年,11月,不動産業，物品賃貸業,不動産業，物品賃貸業,64
令和3年,11月,学術研究，専門・技術サービス業,学術研究，専門・技術サービス業,81
令和3年,11月,宿泊業，飲食サービス業,宿泊業，飲食サービス業,448
令和3年,11月,生活関連サービス業，娯楽業,生活関連サービス業，娯楽業,205
令和3年,11月,教育，学習支援業,教育，学習支援業,114
令和3年,11月,医療，福祉,医療，福祉,1166
令和3年,11月,複合サービス事業,複合サービス事業,25
令和3年,11月,サービス業（他に分類されないもの）,サービス業（他に分類されないもの）,800
令和3年,11月,公務（他に分類されるものを除く）・その他,公務（他に分類されるものを除く）・その他,166
令和3年,11月,合計,合計,5433
令和3年,12月,農，林，漁業,農，林，漁業,35
令和3年,12月,鉱業，採石業，砂利採取業,鉱業，採石業，砂利採取業,3
令和3年,12月,建設業,建設業,423
令和3年,12月,製造業,製造業,1047
令和3年,12月,製造業,食料品製造業,221
令和3年,12月,製造業,飲料・たばこ･飼料製造業,40
令和3年,12月,製造業,繊維工業,11
令和3年,12月,製造業,木材・木製品製造業（家具を除く）,5
令和3年,12月,製造業,家具・装備品製造業,12
令和3年,12月,製造業,パルプ・紙・紙加工品製造業,26
令和3年,12月,製造業,印刷・同関連業,7
令和3年,12月,製造業,化学工業,26
令和3年,12月,製造業,石油製品・石炭製品製造業,0
令和3年,12月,製造業,プラスチック製品製造業,47
令和3年,12月,製造業,ゴム製品製造業,0
令和3年,12月,製造業,窯業・土石製品製造業,35
令和3年,12月,製造業,鉄鋼業,21
令和3年,12月,製造業,非鉄金属製造業,15
令和3年,12月,製造業,金属製品製造業,59
令和3年,12月,製造業,はん用機械器具製造業,65
令和3年,12月,製造業,生産用機械器具製造業,73
令和3年,12月,製造業,業務用機械器具製造業,71
令和3年,12月,製造業,電子部品・デバイス・電子回路製造業,75
令和3年,12月,製造業,電気機械器具製造業,94
令和3年,12月,製造業,情報通信機械器具製造業,35
令和3年,12月,製造業,輸送用機械器具製造業,47
令和3年,12月,製造業,その他の製造業,62
令和3年,12月,電気・ガス・熱供給・水道業,電気・ガス・熱供給・水道業,0
令和3年,12月,情報通信業,情報通信業,67
令和3年,12月,運輸業，郵便業,運輸業，郵便業,209
令和3年,12月,卸売業，小売業,卸売業，小売業,659
令和3年,12月,金融業，保険業,金融業，保険業,14
令和3年,12月,不動産業，物品賃貸業,不動産業，物品賃貸業,99
令和3年,12月,学術研究，専門・技術サービス業,学術研究，専門・技術サービス業,70
令和3年,12月,宿泊業，飲食サービス業,宿泊業，飲食サービス業,469
令和3年,12月,生活関連サービス業，娯楽業,生活関連サービス業，娯楽業,255
令和3年,12月,教育，学習支援業,教育，学習支援業,217
令和3年,12月,医療，福祉,医療，福祉,1421
令和3年,12月,複合サービス事業,複合サービス事業,23
令和3年,12月,サービス業（他に分類されないもの）,サービス業（他に分類されないもの）,970
令和3年,12月,公務（他に分類されるものを除く）・その他,公務（他に分類されるものを除く）・その他,71
令和3年,12月,合計,合計,6052
